"id","code","name","account_type","tag_ids","tax_ids","reconcile","non_trade"
"fj_11110","11110","Bank","asset_cash","","","False",""
"receivable","11200","Trade Debtors","asset_receivable","","","True",""
"payable","21200","Trade Creditors","liability_payable","","","True",""
"fj_21310","21310","VAT Collected","liability_payable","","","True","True"
"fj_21330","21330","VAT Paid","asset_current","","","True","True"
"fj_39999","39999","Historical Balancing","equity","","","False",""
"income","40000","Sales","income","","","False",""
"expense","50000","Purchases","expense","","","False",""
"stock_in","12100","Stock Interim Received","asset_current","","","False",""
"stock_out","12101","Stock Interim Delivered","asset_current","","","False",""
"stock_valuation","12000","Stock Valuation","asset_current","","","False",""
"cost_of_production","54000","Cost of Production","expense_direct_cost","","","False",""
"fj_51000","51000","Cost of Goods Sold","expense","","","False",""


"fj_40100","40100","Sales - Beverages","income","","","False",""
"fj_40200","40200","Sales - Snacks & Confectionery","income","","","False",""
"fj_40300","40300","Sales - Produce","income","","","False",""
"fj_40400","40400","Sales - Frozen Food","income","","","False",""
"fj_40500","40500","Sales - Household & Cleaning","income","","","False",""
"fj_40900","40900","Sales - Other","income","","","False",""
"fj_40110","40110","Sales - Dairy","income","","","False",""
"fj_40130","40130","Sales - Meat","income","","","False",""
"fj_40140","40140","Sales - Vegetables","income","","","False",""
"fj_40150","40150","Sales - Fruits","income","","","False",""
"fj_40160","40160","Sales - Bakery","income","","","False",""
"fj_40510","40510","Sales - Toiletries","income","","","False",""
"fj_40520","40520","Sales - Health & Beauty","income","","","False",""
"fj_40530","40530","Sales - Baby Products","income","","","False",""
"fj_40540","40540","Sales - Cleaning Supplies","income","","","False",""
"fj_51100","51100","COGS - Beverages","expense","","","False",""
"fj_51200","51200","COGS - Snacks & Confectionery","expense","","","False",""
"fj_51300","51300","COGS - Produce","expense","","","False",""
"fj_51110","51110","COGS - Dairy","expense","","","False",""
"fj_51130","51130","COGS - Meat","expense","","","False",""
"fj_51140","51140","COGS - Vegetables","expense","","","False",""
"fj_51150","51150","COGS - Fruits","expense","","","False",""
"fj_51160","51160","COGS - Bakery","expense","","","False",""
"fj_51400","51400","COGS - Frozen Food","expense","","","False",""
"fj_51500","51500","COGS - Household & Cleaning","expense","","","False",""
"fj_51510","51510","COGS - Toiletries","expense","","","False",""
"fj_51520","51520","COGS - Health & Beauty","expense","","","False",""
"fj_51530","51530","COGS - Baby Products","expense","","","False",""
"fj_51540","51540","COGS - Cleaning Supplies","expense","","","False",""
"fj_51900","51900","COGS - Other","expense","","","False",""
"fj_70200","70200","POS Card Control","asset_current","","","False",""
"fj_70100","70100","POS Cash Control","asset_current","","","False",""
"fj_70300","70300","POS Mobile Control","asset_current","","","False",""
"fj_12010","12010","Inventory - Beverages","asset_current","","","False",""
"fj_12020","12020","Inventory - Snacks & Confectionery","asset_current","","","False",""
"fj_12030","12030","Inventory - Produce","asset_current","","","False",""
"fj_12011","12011","Inventory - Dairy","asset_current","","","False",""
"fj_12031","12031","Inventory - Meat","asset_current","","","False",""
"fj_12041","12041","Inventory - Vegetables","asset_current","","","False",""
"fj_12051","12051","Inventory - Fruits","asset_current","","","False",""
"fj_12061","12061","Inventory - Bakery","asset_current","","","False",""
"fj_12070","12070","Inventory - Frozen Food","asset_current","","","False",""
"fj_12080","12080","Inventory - Household & Cleaning","asset_current","","","False",""
"fj_12081","12081","Inventory - Toiletries","asset_current","","","False",""
"fj_12082","12082","Inventory - Health & Beauty","asset_current","","","False",""
"fj_12083","12083","Inventory - Baby Products","asset_current","","","False",""
"fj_12084","12084","Inventory - Cleaning Supplies","asset_current","","","False",""
"fj_12090","12090","Inventory - Other","asset_current","","","False",""
